epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8617838025093079,1.7205815315246582,0.0005,0.8996226191520691,0.9448115825653076
1,0.9054474830627441,0.4969841241836548,0.0005,0.900219738483429,0.5627877116203308
2,0.9065710306167603,0.4310161769390106,0.0005,0.9000125527381897,0.5126622915267944
3,0.9080113172531128,0.398102343082428,0.0005,0.9026025533676147,0.4681931436061859
4,0.9092987775802612,0.37813279032707214,0.0005,0.902935266494751,0.44066688418388367
5,0.9101579785346985,0.36435484886169434,0.0005,0.9021937847137451,0.44818273186683655
6,0.9109088778495789,0.3534107804298401,0.0005,0.9066978096961975,0.3962981700897217
7,0.9115949273109436,0.34434303641319275,0.0005,0.9054722189903259,0.3952885568141937
8,0.9121055603027344,0.33854177594184875,0.0005,0.8952252864837646,0.49248629808425903
9,0.9128318428993225,0.33093777298927307,0.0005,0.896546483039856,0.4801945686340332
10,0.9133775234222412,0.3259879946708679,0.0005,0.9014320373535156,0.4266223609447479
11,0.9139456748962402,0.32045409083366394,0.0005,0.9091971516609192,0.35628095269203186
12,0.914397120475769,0.3162258565425873,0.0005,0.8956068754196167,0.47574952244758606
13,0.9151259064674377,0.31074100732803345,0.0005,0.8989955186843872,0.4460524618625641
14,0.9156032204627991,0.30637282133102417,0.0005,0.9088727831840515,0.3587971031665802
15,0.9163874387741089,0.3015981912612915,0.0005,0.9062443971633911,0.37533146142959595
16,0.9170174598693848,0.2964082956314087,0.0005,0.907929003238678,0.36617493629455566
17,0.9214234948158264,0.27382850646972656,0.00025,0.9049755930900574,0.39215758442878723
18,0.9223440885543823,0.2675938308238983,0.00025,0.9082072973251343,0.36678066849708557
19,0.9235973954200745,0.26052364706993103,0.00025,0.9089564681053162,0.3639882504940033
20,0.9245127439498901,0.2550366222858429,0.00025,0.9036991000175476,0.40820565819740295
21,0.9257087111473083,0.24874968826770782,0.00025,0.9072230458259583,0.38514697551727295
