epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.861531138420105,1.6886619329452515,0.0005,0.8998674750328064,0.8508648872375488
1,0.9051555395126343,0.5024682879447937,0.0005,0.8980740904808044,0.6502290368080139
2,0.9065265655517578,0.42909127473831177,0.0005,0.8995619416236877,0.5374792814254761
3,0.908069908618927,0.395865261554718,0.0005,0.8979952335357666,0.5126739740371704
4,0.9093411564826965,0.3756803572177887,0.0005,0.8889774084091187,0.580308198928833
5,0.910449743270874,0.36044007539749146,0.0005,0.8869810104370117,0.5855817794799805
6,0.9113413691520691,0.3490673303604126,0.0005,0.8918610215187073,0.5390917062759399
7,0.9119773507118225,0.3405255079269409,0.0005,0.896831750869751,0.48496192693710327
8,0.9126445651054382,0.33335480093955994,0.0005,0.9045193791389465,0.4086371660232544
9,0.9136333465576172,0.3249853849411011,0.0005,0.9055524468421936,0.3919171094894409
10,0.9139641523361206,0.3210352063179016,0.0005,0.8992884755134583,0.4559287428855896
11,0.9146826267242432,0.3147759735584259,0.0005,0.8974511623382568,0.46818438172340393
12,0.9154715538024902,0.3089877963066101,0.0005,0.9057756662368774,0.38777342438697815
13,0.916118860244751,0.3042461574077606,0.0005,0.8976374268531799,0.462196946144104
14,0.9168432354927063,0.2991451919078827,0.0005,0.9071742296218872,0.36802899837493896
15,0.9176562428474426,0.2941039502620697,0.0005,0.9066517949104309,0.39259442687034607
16,0.9185945987701416,0.28785189986228943,0.0005,0.9130699038505554,0.3286459147930145
17,0.9194309711456299,0.28293994069099426,0.0005,0.8920431137084961,0.5424326658248901
18,0.9202660918235779,0.2774235010147095,0.0005,0.9118289351463318,0.3378030061721802
19,0.9210121631622314,0.2733916938304901,0.0005,0.8969873189926147,0.47634944319725037
20,0.9221417903900146,0.2668434679508209,0.0005,0.8888679146766663,0.5796511173248291
21,0.923363208770752,0.2602396011352539,0.0005,0.910530149936676,0.35597407817840576
22,0.9294247031211853,0.23593243956565857,0.00025,0.9069133400917053,0.3797551691532135
23,0.9307721853256226,0.2276841104030609,0.00025,0.9111049175262451,0.37031441926956177
24,0.9320868849754333,0.22123953700065613,0.00025,0.9101018309593201,0.3814026415348053
25,0.933288037776947,0.2155679315328598,0.00025,0.9096958637237549,0.39827269315719604
26,0.9340353012084961,0.21051378548145294,0.00025,0.9124825596809387,0.39864444732666016
27,0.9389522671699524,0.19499172270298004,0.000125,0.9092438817024231,0.41651904582977295
28,0.9408230781555176,0.187576025724411,0.000125,0.905414342880249,0.4637201726436615
